,id,text,category
54,1539207766375649281,"In a move towards #sustainability and the #environment, two companies have both declared that they are switching from hot to warm mix as their standard asphalt recipe. ♻️💨 

#aggregates #constructionnews #construction #aggregates #wastemanagement 

https://t.co/CflGvVxmkx",environment
55,1539207766333706242,"Should #Plasticpollution producers be held accountable? Please let us know your thoughts. ♻️ 

#pollution #reduceplasticpollution #water #bottle #environment #nature #sustainable #ClimateAction #savetheplanet #ClimateCrisis #recycling 

https://t.co/0l7TEVY3yz",environment
56,1539202062369562624,"To address #ClimateChange, we need to rethink our attitudes and learn from cultures &amp; religions such as #Islam which revere nature as sacred.

Muslims are ordered to reflect on the 'signs' in the world around them.

#EcoMosqueStandards #Environment #Faith

https://t.co/Ah3nUptFxs",environment
57,1539201683733061632,"Recycle the present, save the future.
Recycle today for a better tomorrow.
🌍
#recycle #reduce #reuse #environment #planet #sustainability #ecofriendly #gogreen #northeast #recycling #saveourplanet #green",environment
58,1539201677865230336,#China built a 246-foot tower to test an emerging #solar #power system: It could unleash a 24/7 power source https://t.co/TScjVii8iF #tech #science #green #energy #environment #climateChange #hardware,environment
59,1539195335435767808,"The power of #trees.

#urbanism #urbanplanning #city #cities #environment #nature https://t.co/GGiX5zvTSy",environment
60,1539188827369226240,"We can’t grow infinitely https://t.co/yLoaOQ4Z6i #nature #environment #climatechange #population 
Bees, trees and seas crises stem from unsustainable food production https://t.co/dMckTBPhDg",environment
61,1539183333011243008,"The UN has confirmed that the final part of the COP15 on #biodiversity will now take place in Montreal this December, in a bid to end the string of delays to the summit caused by the Covid-19 situation in China.

#Nature #Environment

https://t.co/DnC7sFzvqT",environment
62,1539172122139971585,"A study shows that yeast, an abundant waste product from breweries, can filter out even trace amounts of lead

https://t.co/imJnryq3qo

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability #carbon",environment
63,1539170090553290752,https://t.co/oEwHeyxGnl Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
64,1539168338890440704,"Once its full capacity is brought online, this hydro-solar plant will put Ghana on track to cut its power sector greenhouse gas emissions by 235,000 tons per year

https://t.co/UcFiphh9XX

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climate",environment
65,1539168277213196288,"Arctic warming, heatwaves spark record energy demand - and other environment stories you need to read this week - World Economic Forum #climatechange #globalwarming #arctic #heatwave #environment  https://t.co/pOFgpkOmsf",environment
66,1539167841575911424,"Gothenburg-headquartered Volvo Trucks says refueling of the vehicles will take under 15 minutes

https://t.co/1ievwUxBsu

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability #carbon #co2 #ocean #pfas",environment
67,1539167660373684224,"Thanks to the war in Ukraine, there is a shortage of agricultural chemicals. As each adult produces enough pee annually to fertilise 145kg of wheat, perhaps bodily waste is the answer

https://t.co/ckvuEmuqlJ

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat",environment
68,1539166956359909378,"The Interior Department is seeking the emergency cuts to reduce the risks of Lake Mead and Lake Powell, the country's two largest reservoirs, declining to dangerously low levels next year

https://t.co/4WcofmVbQG

#water #drought #flood #globalwarming #ESG #environment #dayzero",environment
69,1539166240505315328,"As more than 9,000 wildfires raged across the landscape, a canopy of smoke shrouded much of the state and drifted as far away as Boston

https://t.co/QLqTwPSUrf

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future",environment
70,1539165206940614658,"Ban on manufacture and import of six popular types of items will begin in December 2022, and sales a year later

https://t.co/bvv0tICYa1

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability #carbon",environment
71,1539164901226192898,"Phoenix is the US’s deadliest city for heat fatalities while its urban sprawl makes it a concrete heat island

https://t.co/jN22bRBune

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability #carbon",environment
72,1539164710381268992,"A new model suggests “mantle rain” from inside Earth’s mantle ensures we will always have a surface ocean

https://t.co/NPO98TfMSZ

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability #carbon #co2",environment
73,1539163215183204353,"""We have forgotten how to be good guests, how to walk lightly on the earth as it's other creatures do.""
Barbara Ward.

It's a beautiful day to do something good for #nature, for the #environment and for your #Society.",environment
74,1539162007848427520,"#ClimateChange as an #inequality #amplifier doesn't give leverage to a few over others. For mitigation measures,developing countries need to fast-track economy &amp; developed countries should control emissions.
#sciencetwitter #scicomm #environment #tech
https://t.co/LtToKolj4t",environment
75,1539161900436561922,"This is the reality:
✅ States are an army which has control on a land
#ClimateChange or #environment doesn’t matter, weapons is the only real for states https://t.co/h9Ua1PiPSG #ClimateCrisis 
https://t.co/zSeKHZcEjK",environment
76,1539159370596077568,"#China responsible for enormous #waste due to #COVID19 testing. The country is overproducing #renewables but seems to be heavily harming the #environment. Shouldn't there be a balance?
#Sustainability #ClimateCrisis #ClimateAction 
https://t.co/bue0ktAamF",environment
77,1539156507148828673,"New research reveals ozone in the lower atmosphere in particular contributed to warming in the Southern Ocean - which absorbs much of the planet's excess heat - more than previously realised.

(Science Daily)

#environment #ozone #environmentallyfriendly #gogreen",environment
78,1539156398205960193,"We spoke to Aldar Education about their LEED Platinum building and how their supplier Adpower FZCO uses Mecc Alte so they have a reliable source of backup power for emergencies.

https://t.co/ObrxxkfZBQ

#sustainability #LEED #environment #meccalte #generator #genset",environment
79,1539153600122716160,https://t.co/IlrE2iRXjg Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
80,1539147686133149696,https://t.co/rmEQGlt4MW Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
81,1539144767681925120,"Alarming statistics 
#globalwarming #climatechange #environment #savetheplanet #nature #sustainability #climatecrisis #ClimateActionNow https://t.co/uBgng9U5Hc",environment
82,1539143350850158592,https://t.co/2ZSUhZcrV6 Sharing Views.9 #StandForPlanet #ClimateAction #ClimateCrisis #ClimateEmergency #ClimateStrike #ClimateStrikeOnline #ClimateReport #ClimateChange #GlobalWarming #SaveThePlanet #Sustainable #Environment #EcoFriendly,environment
83,1539140074566205440,#wildlife #environment Fears for wildlife as Boris Johnson accused of failing to keep policy pledges https://t.co/2ieBNVPUbw,environment
84,1539137130273857536,You cannot change what you refuse to confront.- Unknown #environment #sustainability,environment
85,1539120239153143808,"Soil is the reason for our existence. Let us strive to conserve and protect it now. Rise for the cause TODAY. Let us protect the greatest gift to mankind.

#Soil #SaveSoil #savetheplanet #Sadhguru #ishafoundation #Earth #SoilConservation #SaveEarth #Environment https://t.co/kosDq2zWSL",environment
86,1539107913490382849,No greater fortune than to preserve the sacred Soil that pulses beneath our feet. #SaveSoil #SaveSoilMysuru #SaveSoilMovement #LetsMakeItHappen #ConciousPlanet #savesoilwave #SaveSoilKarnataka #nature #environment https://t.co/VI89L0GvCg,environment
87,1539101215946309633,"Recycling makes you money. Then Why not avail it? https://t.co/zePjOil0UA

#gadgets #gadget #mobile #sell #recycle #green #environment",environment
88,1539101007636217856,"#ClimateCrisis #ClimateChange #Fires #Wildfires #Environment —&gt; Spain Ravaged by Wildfires as Drought, Heatwave Broils Europe https://t.co/Q13SvtTnyl",environment
89,1539100381162217472,Digital Tools and Partnerships Can Help Companies Achieve ... #sustainability #business #energy #innovation #csr #environment #future #green #climatechange #community #sustainabilitygoals https://t.co/88uGqLvtc3,environment
90,1539098948777848832,"🌿 Who out there want to make money and has a licence (or is working towards one)? 🌿

#recycle #HIRINGNOW  #money #WA #earth #reduce #EnvironmentalJustice #environment #wasting #help #jobs #work #facethewaste #TogetherStronger #together #justice #planet",environment
91,1539096958870388741,"#bp from #crudeoil spill #gulfofmexico to KILL DESERTS WITH #SOLAR #plotin4words
#GreatGame++ #oil #loot #oott #fossilfuels #earth #animals #trees #renewables #environment #climatechange #emissions #EVIL #england #globalwarming #wildlife #vegetation https://t.co/j2aEK9yFEY",environment
92,1539084772060073984,I wrote about the alarming levels of air pollution in Delhi &amp; what the world’s most polluted city could learn frm China about tackling the menace #pollution #delhi #health #wellness #china #beijing #environment #smog #ecology #sustainability #globalwarming https://t.co/yJDrIfQmqC,environment
93,1539080296376705024,"#ClimateChange_06
#Biodiversity_06
Biodiversity Solutions Also Fight Climate Change

 New research highlights ways to tackle our two greatest environmental challenges — at the same time.
#ClimateCrisis
#ClimateChange
#environment
#biodiversity
https://t.co/HrslrX89uJ",environment
94,1539075835054858240,"Parasitic tree-strangling vines are running rampant due to #climate change, experts warn | The Independent #Environment #ClimateChange #ClimateAction #GlobalWarming #Fossil #Fuel #Green #Energy  https://t.co/JGsXxXaLXZ",environment
95,1539075732944474114,#Climate change: #China Hit by #Floods and #Heatwaves in Double Whammy | Tech News #Weather #ExtremeWeather #Environment #ClimateChange #ClimateAction #GlobalWarming #Fossil #Fuel #Green #Energy  https://t.co/B53E8vfwAV,environment
96,1539075474516627456,"#Climate change, poor planning: Why Assam’s #floods are getting worse #India #Weather #ExtremeWeather #Environment #ClimateChange #ClimateAction #GlobalWarming #Fossil #Fuel #Green #Energy  https://t.co/C8Q30Bj58g",environment
97,1539074605696315392,A #Somali boy's mission to find food as #climate change takes its toll | The Japan Times #Environment #ClimateChange #ClimateAction #GlobalWarming #Fossil #Fuel #Green #Energy  https://t.co/ypXJBIr2uz,environment
98,1539074230486110208,Record-breaking #heatwave scorches #Europe as #climate change fears intensify | Euronews #Environment #ClimateChange #ClimateAction #GlobalWarming #Fossil #Fuel #Green #Energy  https://t.co/CI3VT0Gikb,environment
99,1539063757774606339,"Philippines places 158th out of 180 in environmental #sustainability ranking 👉https://t.co/y4mxFU8cZM 

#environment",environment
100,1539062956511617024,"The Largest Largemouth Bass Ever Recorded Was Caught in Georgia
#fishing #fish #bass #wildlife #animals #nature #environment 
https://t.co/O7B7DYLAAJ",environment
101,1539051472247193606,"Have you heard about our Sustainable IT Maturity Assessment? 🌏🌱♻️

#Microsoft #Sustainability #climatechange #MOQdigital #Renewable #environment
https://t.co/FiT5MoSSB3",environment
102,1539051001621393408,Constantly warm temperatures over time r changing weather patterns &amp;disrupting D usual balance of nature due to climateChange &amp; posing risks to human life &amp; whole ecosystem on Earth #climate #GlobalWarming #ClimateActionNow #Sustainable #sustainability #ClimateBrawl #environment,environment
103,1539017589602430976,"Stop republicans for not Caring about #Climatechange.

#enmchange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal",environment
104,1539015440239890432,"China’s Ministry of #Ecology and #Environment has revealed new #climatechange plans amid heavy rains that left at least 32 people dead in southern China: #climatecrisis 
https://t.co/4pdSnNg5tR",environment
105,1539010278154588161,"https://t.co/AZy5TRchJM #environment #disaster #ElectricVehicles #batteries      Electric cars are bad for #GlobalWarming #Democrats There is no place to ""toss"" millions of #batteries",environment
